data_source_idx,Question No,item__Input_question,grades__Text similarity grader,context_relevancy
0,Q 1,"I’m really struggling with the side effects of Tolvaptan. is there a treatment that works better and is easier on my body, and would I still see the benefits even if I had to stop taking it for a while?",0.7298516784,0.162213
1,Q 2,"I’ve had this disease for years and already have quite a few cysts. is there suggest the drug could still help me if I start treatment later, or is it only for people who are just starting to show symptoms?",0.7138319852,0.22493
2,Q 3,"I’m really nervous about the 'black box' liver warning on Tolvaptan, and honestly, the constant thirst and bathroom trips are exhausting. I read about a drug called Cinacalcet that’s already being used for other bone and kidney issues, could that be a safer way to slow down my cysts without trashing my liver?",0.9003215122,0.2386
3,Q 4,Could I take Cinacalcet AND Tolvaptan together? Would they work as a team to shrink my cysts even faster?,0.902058052,0.167006
4,Q 5,I feel like I’m constantly fighting two different battles: one to keep my blood pressure down and another to stop these cysts from growing. I'm worried that my current blood pressure meds are just a 'band-aid.' is there a way to fix that root cause instead of just treating the symptoms?,0.7153674868,0.237557
5,Q 6,"If the genetic 'blueprint' for my child's kidney disease is completely missing—the worst-case scenario—why is it that their liver shows clear signs of disease, but their kidneys look almost completely normal? Does this mean there is something 'protecting' the kidneys that we can use to develop a treatment, and should I be worried about other parts of the body, like the eyes or teeth, that we haven't checked before?""",0.7203078984,0.253146
6,Q 7,"I know that PKD is usually described as a problem with how my kidney cells 'sense' things on the outside. But is it possible that the disease is actually deeper than that, ike a problem with how my cells create and use energy on the inside? If it is an energy problem, could my diet or my metabolism actually change how fast my cysts grow?",0.8275185864,0.152909
7,Q 8,Are there medicines that could slow cyst growth instead of just treating symptoms?,0.652679296,0.071059
8,Q 9,"Even when I try to do everything right, like watching my diet and taking my medications, my kidneys still seem to be getting bigger. What could be driving that growth at a cellular level?",0.7301339487,0.15643
9,Q 10,"I understand that my polycystic kidney disease is genetic, but even when I follow my treatment plan and take care of myself, my kidneys still seem to keep getting worse. I want to understand what’s actually happening inside my kidney cells that causes the cysts to grow. Are there specific processes or signals in the cells that doctors could eventually target to slow the disease down in a way that would improve my long-term quality of life and delay kidney failure?",0.8435569331,0.192546
11,Q 12,"’ve always heard that acetaminophen mainly damages the liver, and that the antidote NAC is supposed to protect people after an overdose. But I’ve also read that some patients still end up with kidney problems even when they get treated. I want to understand why my kidneys might be affected differently than my liver. What is actually happening inside kidney cells during an overdose, and why doesn’t the usual antidote work for the kidneys? Are there other treatments that might better protect kidney cells and reduce long-term damage?",0.8775526226,0.315613
12,Q 13,"I heard that certain kidney proteins can affect how cells use energy. Could this make my child’s cysts worse, and is there a way to help prevent that?",0.6921159576,0.20716
13,Q 14,"I was reading about how kidneys in PKD don't just get cysts—they basically get 'choked out' by internal scarring. I’m curious, is there any research into stopping that scarring process directly? It feels like if we could just clear out those scar-forming cells, the healthy parts of my kidney might actually have a chance to breathe.",0.8155198524,0.171657
14,Q 15,my kidney cells 'forget' they are adult cells and start acting like they're still growing in a fetus. Is there a way to flip the switch back to 'adult mode' so my kidneys stop producing these cysts and just focus on filtering my blood?,0.7402544698,0.097547
15,Q 16,"If the 'immune cells' in my body right now are actually setting the stage for how my kidneys and liver will look in 10 years, is there a way to 're-train' them today so they stop building scars and start helping instead?""",0.6758393381,0.165899
16,Q 17,"I keep hearing that when cells get damaged, they’re supposed to stop dividing to protect the body. How does a damaged cell actually ‘decide’ to shut itself down, and why does that process sometimes fail in diseases or aging?",0.6720889679,0.196743
17,Q 18,"I know my blood work looks 'fine' right now, but I can feel that things are changing. If there’s actually a point where this disease suddenly 'shifts gears' and starts moving faster, can we use these better scans to see if I’m hitting that moment right now? I don’t want to wait until my kidneys are already failing to finally start doing something about it.",0.7056141386,0.08516
18,Q 19,"I have polycystic kidney disease, and I keep hearing that inflammation might make my cysts grow faster. Why is my immune system involved in a genetic kidney disease, and could calming inflammation actually help slow the disease down?",0.8176618519,0.38382
19,Q 20,"What did patients with ADPKD say helped them stay healthy during the COVID, and what made things harder?",0.8649058741,0.100822
20,Q 21,"I have liver disease and heard that some genetic changes can happen in the liver over time. Does that always mean cancer, or can some changes actually be protective?",0.8443752762,0.47537
21,Q 22,"have polycystic kidney disease, and I keep hearing about proteins in the kidney that can be both helpful and harmful. How can something slow cyst growth but still make kidney scarring worse?",0.7241255559,0.341263
22,Q 23,"I’ve been told that ADPKD causes my kidney cells to grow and divide when they shouldn’t. I read that some of these cells have problems when they divide and that new treatments might be able to stop those abnormal cells from surviving. Can you explain how stopping these unhealthy kidney cells from dividing could slow cyst growth and actually improve kidney function, without harming normal kidney cells?",0.7852020953,0.344488
23,Q 24,"If inflammation is part of what’s damaging my kidneys, why hasn’t it been treated more directly before, and could targeting something to help protect kidney function long term?",0.776856658,0.194224
24,Q 25,"If inflammation in my kidneys is sending signals to my brain, could that be making my condition worse without me realizing it?",0.8358106291,0.249529
25,Q 26,"I was told my polycystic kidney disease is caused by a small change in a gene, not a missing gene. Does that kind of genetic change affect how my kidney cells work, and does it mean there could be treatments that help the protein work better instead of just slowing the disease?",0.7576940265,0.252189
26,Q 27,"I have polycystic kidney disease, and I’m scared of how it keeps getting worse over time. Does this research mean there might be new treatments that can stop cysts from starting in the first place, not just slow them down after they grow?",0.7750061062,0.162719
